"charged_off","ContactsMade_Inbound","maxDue","current_rate","lti__c","final_risk_group__c","inquires_last_6_months__c","age","ach_recurring","ach_onetime","utm","pred"
"0",6,43,18.49,3,6,1,1,1,0,1,"0"
"1",0,-1,13.99,4,3,0,1,1,0,2,"0"
"1",8,13,18.49,3,4,0,1,1,0,2,NA
"0",8,43,23.49,2,10,1,1,0,1,2,"0"
"0",3,60,20.99,3,7,1,1,0,1,2,"0"
"0",2,-1,16.49,4,4,0,1,1,0,2,NA
"0",6,13,26.49,4,7,0,1,1,0,2,"0"
"0",9,41,17.99,4,4,0,0,0,1,2,"0"
"0",19,24,16.99,2,4,0,1,0,1,1,NA
"0",1,-1,7.99,3,2,0,0,1,0,1,NA
"0",6,13,11.99,3,4,0,1,0,1,2,NA
"1",2,13,26.49,3,10,2,0,0,1,1,"0"
"1",0,-1,19.99,3,4,0,1,1,0,2,"0"
"1",1,-1,19.99,4,4,0,1,1,0,2,"0"
"0",0,13,23.49,4,8,2,1,1,0,1,"0"
"0",6,13,15.49,2,5,2,1,0,1,2,NA
"1",4,43,8.49,4,1,1,1,0,1,2,"0"
"0",40,13,19.99,4,7,1,0,0,1,1,NA
"0",9,13,26.49,1,9,2,1,0,1,1,NA
"1",1,12,16.99,4,4,0,1,0,1,2,NA
"0",2,13,18.49,2,7,0,1,0,1,2,NA
"1",0,-1,12.49,4,2,1,1,1,0,2,"0"
"0",2,13,16.49,3,6,1,1,0,1,1,NA
"0",13,13,11.49,4,2,0,1,1,0,2,NA
"1",0,60,16.49,4,4,1,1,1,0,1,"0"
"1",3,12,17.49,4,6,0,1,0,1,2,NA
"0",10,60,18.49,4,8,0,0,1,0,2,"0"
"0",3,-1,11.99,3,3,0,0,1,0,2,NA
"1",2,13,15.49,3,6,0,0,0,1,2,NA
"1",1,60,9.99,3,3,1,1,1,0,3,"0"
"1",0,-1,25.99,3,9,0,1,1,0,2,"0"
"0",2,-1,20.49,3,6,0,1,1,0,2,NA
"1",1,60,8.99,4,1,0,1,1,0,2,"0"
"1",9,13,8.99,3,1,0,1,1,0,2,NA
"0",1,-1,25.49,4,9,2,1,1,0,2,"0"
"0",1,60,25.49,3,10,1,1,0,1,2,"0"
"0",13,13,14.99,3,4,2,1,0,1,2,NA
"1",1,-1,15.49,4,3,0,1,1,0,2,"0"
"1",1,-1,21.99,4,9,0,1,1,0,2,"0"
"1",0,-1,8.99,3,2,0,1,1,0,2,NA
"1",6,60,18.49,3,8,2,1,1,0,2,"0"
"1",0,-1,11.49,3,3,0,0,1,0,2,NA
"1",0,43,22.49,2,9,1,0,1,0,1,"0"
"1",0,-1,21.99,3,7,2,1,1,0,2,"0"
"1",0,13,16.99,3,3,0,1,1,0,3,"0"
"0",4,44,20.99,3,9,1,1,0,1,2,"0"
"0",3,-1,10.99,4,3,2,1,0,1,2,NA
"0",0,43,18.99,3,4,0,1,0,1,2,"0"
"1",0,-1,12.99,2,2,2,0,1,0,2,"0"
"0",39,60,26.49,2,10,2,1,0,1,1,NA
"0",0,-1,25.49,1,10,1,1,1,0,2,"0"
"1",2,13,20.99,3,10,1,1,0,1,1,NA
"0",1,13,13.99,3,3,0,1,0,1,2,NA
"1",8,-1,25.99,4,10,1,0,1,0,2,NA
"1",0,13,7.49,1,2,0,0,1,0,2,"0"
"0",3,13,13.49,1,4,0,1,1,0,1,NA
"1",25,60,21.99,3,7,0,1,0,1,1,NA
"0",2,13,20.49,2,6,2,1,0,1,1,NA
"1",0,-1,14.49,3,3,0,1,1,0,2,NA
"1",5,-1,22.49,3,6,1,1,0,1,2,NA
"0",6,13,10.99,2,3,0,1,1,0,1,NA
"1",1,60,12.49,4,1,1,1,1,0,3,"0"
"1",4,-1,20.49,4,6,1,1,1,0,2,"0"
"0",1,12,8.99,2,2,0,1,0,1,2,NA
"1",0,-1,15.49,2,5,0,1,1,0,2,NA
"0",0,-1,7.99,3,2,1,1,1,0,2,NA
"1",0,13,16.99,3,4,2,1,1,0,1,"0"
"0",6,60,25.49,1,10,2,1,0,1,2,"0"
"1",1,-1,8.99,4,2,2,1,1,0,2,"0"
"0",5,13,18.49,4,3,0,1,0,1,1,NA
"0",3,13,20.99,3,10,1,1,0,1,2,NA
"1",15,60,18.99,4,4,0,1,0,1,1,NA
"0",18,60,26.49,4,9,1,1,0,1,2,"0"
"1",0,13,8.99,4,1,0,1,1,0,1,"0"
"0",3,13,23.49,2,6,1,1,0,1,1,NA
"0",9,13,14.99,3,5,0,1,0,1,2,NA
"0",1,43,20.49,3,5,2,1,1,0,1,"0"
"0",1,13,26.49,3,10,1,0,0,1,2,"0"
"1",4,13,22.49,4,4,0,1,1,0,2,"0"
"0",1,-1,9.99,1,4,2,1,1,0,2,NA
"0",4,-1,16.99,4,5,2,0,0,1,2,NA
"1",0,-1,7.99,3,1,1,1,1,0,2,NA
"1",2,60,14.99,1,4,0,1,0,1,3,"0"
"0",5,-1,9.99,3,3,1,0,0,1,2,NA
"0",6,13,11.99,4,3,0,1,0,1,2,NA
"1",7,44,12.99,4,3,1,1,0,1,1,"0"
"1",8,60,30,3,10,0,0,1,0,1,"0"
"0",14,13,16.49,4,7,2,1,0,1,2,NA
"1",12,13,18.99,3,5,2,1,0,1,2,NA
"1",2,13,7.99,4,1,0,1,1,0,1,NA
"0",1,-1,19.49,4,6,1,1,1,0,2,"0"
"0",29,44,17.99,1,3,2,1,0,1,1,NA
"0",1,13,21.99,3,9,1,1,0,1,2,"0"
"0",2,-1,15.99,3,5,2,1,0,1,1,NA
"1",1,-1,12.99,2,3,1,0,0,1,1,NA
"1",0,44,14.49,4,3,2,1,1,0,2,"0"
"0",4,60,26.49,1,9,0,1,0,1,1,"0"
"1",1,12,30,2,2,0,1,1,0,1,"0"
"1",1,-1,8.99,4,1,0,1,1,0,2,NA
"0",1,-1,26.49,4,10,1,1,1,0,2,"0"
"0",5,-1,24.49,3,8,2,1,0,1,1,NA
"1",1,-1,16.49,2,4,2,1,1,0,3,"0"
"0",0,13,15.49,3,5,0,1,0,1,1,NA
"1",3,60,25.49,3,7,2,1,0,1,1,"0"
"1",0,-1,26.49,3,8,1,1,1,0,1,"0"
"1",0,-1,19.49,3,6,1,0,1,0,1,"0"
"1",5,13,17.99,3,8,2,1,0,1,1,NA
"1",2,43,13.99,4,4,0,1,1,0,2,"0"
"1",8,-1,11.49,3,3,0,1,0,1,3,NA
"1",4,60,11.49,4,2,2,1,0,1,1,"0"
"0",18,60,17.99,2,8,1,1,0,1,2,NA
"1",0,-1,8.49,3,1,0,1,1,0,1,NA
"0",12,13,26.49,4,10,2,1,0,1,1,NA
"0",1,10,9.99,1,4,1,1,1,0,1,NA
"1",3,44,25.49,3,10,1,1,0,1,1,"0"
"0",11,13,16.99,2,4,2,1,0,1,1,NA
"0",1,-1,7.49,3,1,1,0,1,0,2,NA
"1",0,-1,20.49,2,6,1,1,1,0,1,NA
"1",0,-1,22.49,1,9,1,1,0,1,1,NA
"1",1,13,9.99,4,3,1,1,1,0,1,"0"
"1",2,60,22.99,3,10,1,0,1,0,1,"0"
"0",15,13,12.49,3,2,0,1,0,1,2,NA
"0",2,-1,17.99,2,8,0,1,1,0,3,"0"
"1",0,13,21.49,3,8,1,1,1,0,1,"0"
"1",0,60,16.99,3,6,1,1,1,0,2,"0"
"0",1,-1,25.49,3,10,0,1,0,1,2,NA
"1",12,60,19.49,4,6,0,1,0,1,2,"0"
"0",21,13,11.49,1,4,1,1,0,1,1,NA
"0",13,44,17.99,3,4,2,1,0,1,2,NA
"1",17,60,17.99,3,4,2,1,0,1,2,NA
"1",0,-1,17.99,4,5,0,1,1,0,2,"0"
"0",1,13,26.49,3,10,0,1,1,0,2,"0"
"1",5,60,25.99,3,9,2,1,0,1,2,"0"
"1",21,43,12.99,4,3,0,1,0,1,2,NA
"1",0,60,26.49,1,10,0,1,0,1,1,"0"
"0",6,13,18.99,2,6,2,1,0,1,1,NA
"1",0,44,18.99,2,6,1,1,1,0,3,"0"
"1",0,-1,20.49,4,6,0,1,1,0,1,"0"
"0",0,-1,26.49,3,10,0,0,1,0,1,"0"
"0",1,44,21.49,3,7,0,0,1,0,2,"0"
"1",0,60,16.49,2,7,0,0,1,0,1,"0"
"1",0,-1,17.49,2,6,2,1,1,0,1,NA
"0",32,44,14.99,2,5,2,1,0,1,2,NA
"0",21,13,14.49,4,3,1,1,0,1,2,NA
"1",21,13,25.99,2,10,0,1,0,1,1,NA
"0",1,-1,17.99,1,9,1,1,1,0,1,NA
"1",14,60,6.99,2,2,2,1,0,1,1,NA
"1",7,43,11.49,4,2,2,1,0,1,2,"0"
"1",0,13,17.49,2,7,1,1,1,0,1,"0"
"1",5,43,10.99,4,2,2,1,0,1,1,"0"
"1",5,60,20.49,2,6,2,1,0,1,1,"0"
"0",1,-1,20.99,2,10,2,1,1,0,3,"0"
"0",1,-1,22.49,4,8,2,1,1,0,3,"0"
"1",0,13,20.99,4,7,1,1,0,1,2,"0"
"1",1,-1,18.99,3,7,0,1,0,1,1,NA
"0",2,-1,25.49,3,8,2,1,1,0,1,"0"
"1",20,13,20.99,4,7,1,1,0,1,2,NA
"0",7,-1,16.99,4,5,0,1,0,1,1,NA
"0",1,-1,20.99,1,7,2,1,1,0,2,"0"
"1",3,-1,26.49,3,9,0,1,1,0,2,"0"
"1",1,13,30,4,6,0,0,1,0,2,"0"
"1",1,-1,8.99,4,1,1,1,1,0,1,NA
"1",10,13,18.49,1,10,2,1,0,1,2,NA
"0",9,-1,24.49,3,8,1,1,0,1,1,NA
"0",4,-1,25.49,3,9,0,1,1,0,2,NA
"0",10,13,12.49,1,1,2,1,0,1,3,NA
"0",31,13,21.49,3,8,0,1,0,1,2,NA
"0",1,-1,23.49,3,6,1,1,1,0,2,"0"
"0",11,13,17.99,2,5,2,1,0,1,2,NA
"1",0,60,25.49,4,10,0,1,1,0,1,"0"
"1",1,-1,16.49,4,4,0,1,1,0,1,NA
"0",2,-1,10.49,1,4,1,1,0,1,2,NA
"1",7,43,19.49,3,6,0,1,1,0,2,"0"
"0",7,-1,18.99,4,7,2,1,0,1,2,NA
"0",5,43,7.99,2,1,1,1,1,0,1,"0"
"1",2,-1,20.49,4,6,2,1,1,0,2,"0"
"1",0,13,16.99,3,6,2,1,1,0,1,"0"
"0",5,13,8.99,2,2,1,1,0,1,1,NA
"1",25,-1,26.49,4,10,2,1,0,1,1,NA
"1",1,13,22.49,4,7,2,1,0,1,2,"0"
"1",2,13,8.49,3,2,0,1,0,1,2,NA
"0",3,44,30,2,9,2,1,0,1,2,"0"
"0",1,-1,10.99,4,2,1,1,1,0,1,NA
"0",14,-1,11.99,2,4,0,1,0,1,2,NA
"1",17,60,25.99,3,10,0,1,0,1,2,"0"
"1",0,-1,21,4,9,0,1,1,0,2,"0"
"0",2,-1,16.49,3,7,0,1,1,0,2,NA
"1",1,-1,7.99,3,1,0,1,1,0,1,NA
"1",0,-1,13.99,2,5,1,1,1,0,2,NA
"1",0,-1,19.49,4,5,0,1,1,0,2,"0"
"1",2,-1,12.49,3,3,1,1,1,0,2,NA
"1",2,15,30,4,2,0,0,1,0,2,"0"
"0",17,15,25.49,2,10,0,1,0,1,1,NA
"1",2,-1,23.49,2,7,2,1,0,1,2,NA
"0",3,10,25.49,2,10,2,1,0,1,1,NA
"0",11,-1,25.99,3,7,1,1,1,0,1,NA
"1",15,14,10.99,3,3,2,0,0,1,1,NA
"0",15,60,21.99,1,10,1,1,0,1,1,NA
"0",0,12,22.49,3,6,0,1,1,0,2,"0"
"0",1,-1,17.99,3,8,0,1,0,1,1,NA
"0",2,-1,17.99,4,5,2,0,1,0,1,"0"
"0",4,-1,22.99,1,10,1,0,1,0,1,NA
"1",0,-1,16.99,4,5,0,1,1,0,2,"0"
"0",4,-1,14.99,2,9,2,1,1,0,2,NA
"0",2,-1,17.49,4,5,0,1,0,1,2,NA
"0",6,-1,7.99,4,1,0,0,1,0,2,NA
"1",11,14,24.99,1,8,2,1,0,1,2,NA
"1",0,60,20.99,4,10,0,1,1,0,2,"0"
"0",3,14,30,1,6,2,0,0,1,1,NA
"1",0,-1,17.49,4,5,1,1,1,0,1,"0"
"0",1,-1,14.99,1,7,0,1,1,0,2,NA
"1",0,-1,8.49,4,2,0,1,1,0,1,NA
"1",12,-1,19.49,3,6,1,1,0,1,2,NA
"1",6,-1,19.99,1,9,1,1,0,1,1,NA
"0",1,13,26.49,4,10,1,1,1,0,2,"0"
"1",0,-1,21.99,3,9,1,1,1,0,2,"0"
"0",1,15,26.49,4,10,2,1,0,1,1,"0"
"1",8,43,19.49,3,10,1,0,0,1,2,"0"
"1",0,-1,23.49,2,6,1,0,1,0,2,"0"
"0",1,-1,18.49,3,3,1,1,0,1,1,NA
"1",5,13,21.49,3,7,0,1,0,1,1,NA
"1",2,-1,19.99,4,9,0,1,0,1,2,NA
"0",1,-1,25.99,2,9,0,1,1,0,1,NA
"1",3,-1,17.49,2,9,2,0,0,1,3,NA
"0",0,13,19.49,3,4,2,1,1,0,1,"0"
"0",3,-1,26.49,3,10,0,1,1,0,1,NA
"1",9,60,18.49,3,6,2,1,0,1,2,"0"
"1",4,-1,17.99,2,8,0,1,1,0,2,NA
"1",7,60,21.99,4,7,2,1,0,1,3,"0"
"0",1,-1,12.49,4,1,2,1,1,0,1,NA
"0",1,-1,16.99,1,8,1,1,1,0,2,NA
"0",0,13,25.49,2,7,0,0,1,0,1,"0"
"0",2,-1,20.99,3,9,2,1,0,1,1,NA
"1",8,13,24.49,1,10,1,1,0,1,2,NA
"1",1,-1,18.99,2,4,0,1,1,0,1,NA
"0",2,-1,11.49,3,5,1,1,1,0,1,NA
"1",4,60,22.49,2,6,0,1,0,1,1,"0"
"0",1,-1,26.49,3,8,0,1,1,0,1,"0"
"1",1,-1,7.49,1,1,0,1,1,0,2,NA
"0",1,44,26.49,3,9,1,1,1,0,3,"0"
"0",22,60,8.99,2,4,0,0,0,1,1,NA
"1",3,60,18.49,2,4,0,1,0,1,2,"0"
"0",1,-1,15.49,2,5,0,1,1,0,1,NA
"0",4,51,8.99,3,1,0,1,1,0,1,"0"
"1",2,60,8.49,4,1,0,1,1,0,1,"0"
"1",2,-1,18.49,2,6,2,1,1,0,1,NA
"0",3,13,25.99,4,9,1,1,1,0,2,"0"
"1",2,60,21.99,3,9,2,1,0,1,2,"0"
"0",16,43,21.99,3,8,0,1,0,1,2,NA
"0",4,60,14.99,3,6,2,1,0,1,2,"0"
"0",2,12,8.99,1,5,2,1,1,0,2,"0"
"1",11,60,22.99,3,8,0,1,0,1,2,"0"
"0",5,-1,13.99,3,4,1,1,1,0,2,NA
"1",1,12,22.99,2,10,2,0,0,1,2,"0"
"0",2,60,22.99,2,10,0,1,0,1,2,"0"
"0",2,-1,9.49,1,3,0,1,1,0,2,NA
"1",0,-1,17.49,3,6,2,1,1,0,1,"0"
"1",0,-1,17.49,4,6,1,1,1,0,2,"0"
"0",0,12,17.49,3,4,1,0,0,1,2,"0"
"0",0,13,17.49,1,8,0,1,0,1,2,NA
"0",1,-1,25.99,3,9,1,1,1,0,2,"0"
"0",7,-1,9.49,1,6,2,1,0,1,1,NA
"1",1,43,11.99,3,5,1,1,0,1,1,"0"
"0",11,60,17.49,4,6,2,1,0,1,2,"0"
"1",0,-1,15.99,1,9,2,1,1,0,1,NA
"1",0,-1,18.49,3,6,1,1,1,0,2,"0"
"1",0,-1,8.99,2,2,2,1,1,0,2,NA
"1",1,-1,21.49,1,7,1,1,1,0,1,NA
"1",0,13,11.99,3,3,1,1,0,1,2,NA
"0",5,13,17.49,2,7,0,0,1,0,1,NA
"0",1,-1,13.99,3,4,2,1,1,0,2,"0"
"0",1,-1,23.49,2,6,1,1,1,0,1,NA
"0",0,-1,8.99,4,1,1,1,1,0,1,NA
"0",1,-1,22.99,3,10,0,1,1,0,2,"0"
"1",3,13,26.49,3,10,0,1,0,1,1,NA
"1",0,13,11.99,4,6,2,0,1,0,1,"0"
"1",0,-1,17.99,4,6,1,1,1,0,1,"0"
"1",2,60,8.49,1,5,2,0,1,0,2,"0"
"0",1,-1,13.99,3,3,0,1,1,0,2,NA
"0",1,-1,16.99,3,7,1,1,1,0,2,"0"
"1",1,13,9.49,2,4,1,1,0,1,2,NA
"1",20,60,12.99,1,6,1,1,0,1,2,NA
"1",1,60,12.49,1,2,2,1,1,0,2,"0"
"0",0,43,26.49,3,10,2,1,0,1,2,"0"
"0",14,13,16.99,1,4,2,1,0,1,2,NA
"0",2,-1,22.49,3,8,2,1,0,1,2,NA
"1",1,43,21.99,2,9,2,1,1,0,1,"0"
"0",1,-1,13.49,3,4,1,1,1,0,1,NA
"0",10,44,16.49,2,8,0,1,0,1,2,NA
"1",0,12,30,3,8,2,1,1,0,2,"0"
"0",3,13,9.49,3,2,2,1,0,1,1,NA
"0",26,60,24.49,2,9,2,0,0,1,2,NA
"0",2,-1,17.49,4,6,2,1,1,0,1,"0"
"0",2,13,23.99,4,10,2,1,0,1,2,"0"
"1",0,-1,22.99,1,10,2,1,1,0,1,"0"
"1",0,-1,11.99,4,2,0,1,1,0,1,NA
"1",0,-1,17.99,3,7,2,1,1,0,2,"0"
"0",23,43,26.49,3,8,0,1,0,1,2,NA
"1",15,13,25.99,3,10,0,1,0,1,2,NA
"0",10,60,12.99,1,9,1,1,0,1,1,"0"
"0",1,-1,12.49,3,2,0,1,0,1,1,NA
"0",10,13,25.99,2,8,1,0,0,1,1,NA
"1",0,-1,8.49,3,3,1,1,1,0,2,NA
"1",2,-1,12.99,4,3,2,1,1,0,2,"0"
"0",27,13,13.49,2,4,2,1,0,1,1,NA
"0",20,13,16.49,4,6,1,1,0,1,2,NA
"1",11,-1,15.99,3,8,0,1,0,1,1,NA
"0",8,-1,13.99,4,4,0,0,1,0,1,NA
"1",2,44,7.99,3,1,2,1,1,0,2,"0"
"0",3,-1,16.49,4,8,2,1,1,0,1,"0"
"1",2,-1,11.99,3,6,1,1,1,0,2,NA
"0",0,13,20.99,3,9,2,1,1,0,2,"0"
"1",0,60,17.99,3,6,0,1,1,0,1,"0"
"1",9,60,25.99,4,9,1,1,0,1,2,"0"
"1",12,44,17.99,3,7,0,1,0,1,2,NA
"1",0,-1,9.49,3,2,0,1,1,0,2,NA
"1",0,13,10.49,4,2,0,1,1,0,1,"0"
"1",11,13,9.99,3,2,2,1,0,1,2,NA
"1",3,13,17.99,3,7,2,1,0,1,1,NA
"1",0,60,18.49,2,7,0,1,1,0,2,"0"
"0",7,60,20.99,2,7,2,1,0,1,3,"0"
"0",3,-1,10.49,3,2,0,1,0,1,1,NA
"1",0,-1,14.99,4,4,1,0,1,0,1,"0"
"0",1,-1,14.99,3,5,1,1,1,0,2,"0"
"1",0,-1,13.99,3,4,1,1,0,1,1,NA
"1",2,-1,23.49,3,9,0,1,1,0,1,NA
"0",1,-1,22.49,4,10,2,1,0,1,2,NA
"1",2,-1,23.49,3,8,1,0,1,0,2,"0"
"0",14,-1,10.99,4,3,1,1,1,0,1,NA
"1",7,-1,18.99,3,6,2,1,0,1,1,NA
"1",1,13,17.49,4,7,0,1,0,1,2,"0"
"0",22,-1,7.99,3,1,0,1,0,1,2,NA
"0",6,-1,8.99,2,3,0,1,0,1,2,NA
"1",0,-1,22.99,3,10,1,1,1,0,2,"0"
"1",0,13,25.49,3,10,2,1,0,1,1,"0"
"0",4,13,22.99,2,9,0,1,0,1,2,NA
"1",1,44,8.49,4,1,0,1,1,0,1,"0"
"1",0,43,17.99,4,4,0,1,1,0,2,"0"
"0",0,44,18.99,3,6,2,1,0,1,2,"0"
"1",1,44,13.49,4,4,2,0,1,0,2,"0"
"0",6,13,8.99,4,1,0,1,0,1,1,NA
"0",5,-1,23.49,3,8,1,1,0,1,1,NA
"0",20,13,10.99,1,3,2,1,0,1,1,NA
"0",22,60,15.99,2,7,0,1,0,1,1,NA
"1",3,-1,22.49,4,8,0,1,1,0,1,NA
"1",0,-1,25.49,2,10,1,0,1,0,1,"0"
"1",2,44,17.49,4,6,1,1,1,0,1,"0"
"1",0,60,25.99,2,9,2,1,0,1,3,"0"
"1",1,60,20.99,3,5,1,0,0,1,2,"0"
"0",2,13,18.99,4,6,1,1,0,1,2,"0"
"1",3,-1,25.99,4,8,0,1,1,0,2,"0"
"1",0,60,25.49,1,7,2,1,0,1,3,"0"
"1",1,-1,7.49,4,1,0,1,1,0,2,NA
"0",2,-1,26.49,2,10,0,1,1,0,1,NA
"0",0,-1,17.99,3,7,1,1,1,0,2,"0"
"1",0,43,7.49,4,1,2,1,1,0,1,"0"
"1",4,12,9.99,1,4,0,1,1,0,1,NA
"0",27,13,16.99,3,7,0,0,0,1,2,NA
"0",9,-1,12.49,2,7,2,0,0,1,1,NA
"1",0,-1,12.99,3,4,0,1,0,1,1,NA
"1",1,-1,15.49,4,5,2,1,1,0,2,"0"
"1",0,60,12.99,3,6,2,1,1,0,1,"0"
"1",3,13,11.99,4,3,0,0,0,1,1,NA
"0",18,44,16.99,3,6,2,1,0,1,2,NA
"1",3,-1,9.99,1,5,1,1,1,0,2,NA
"1",0,-1,20.49,3,6,1,1,1,0,2,"0"
"0",1,13,18.49,3,9,2,1,0,1,3,"0"
"1",0,13,11.99,4,6,1,1,1,0,2,"0"
"1",0,43,16.49,3,6,0,1,1,0,3,"0"
"1",2,-1,25.49,4,10,1,0,1,0,1,"0"
"0",2,-1,16.49,3,9,2,0,1,0,2,"0"
"0",4,-1,7.99,3,1,2,1,1,0,1,NA
"0",1,-1,13.99,4,4,2,1,0,1,2,NA
"0",2,-1,19.49,3,7,2,1,1,0,1,"0"
"1",0,44,18.49,4,6,0,0,1,0,2,"0"
"1",0,-1,11.49,4,5,2,1,1,0,2,"0"
"0",1,-1,9.99,1,4,0,1,1,0,2,NA
"0",0,-1,9.99,3,3,0,1,1,0,2,NA
"1",0,43,10.99,4,2,2,1,1,0,2,"0"
"0",8,12,13.99,3,8,0,1,0,1,2,NA
"0",1,-1,13.99,4,4,0,1,1,0,1,NA
"1",4,60,20.99,4,7,0,1,0,1,2,"0"
"1",2,-1,26.49,3,10,0,1,0,1,1,NA
"1",0,-1,19.99,4,9,0,1,1,0,1,"0"
"0",28,-1,20.99,3,9,0,1,0,1,3,NA
"0",3,43,30,1,6,2,1,1,0,2,"0"
"0",1,-1,23.49,4,9,2,1,0,1,1,NA
"1",5,-1,10.49,4,3,0,1,0,1,2,NA
"1",2,44,19.99,4,7,2,1,0,1,1,"0"
"0",0,-1,18.49,2,7,0,1,1,0,1,NA
"0",8,43,18.49,3,10,1,1,1,0,1,"0"
"1",2,-1,9.49,4,2,2,1,0,1,2,NA
"1",1,13,22.49,3,10,2,1,1,0,1,"0"
"0",0,-1,9.99,1,2,0,1,0,1,1,NA
"0",9,13,18.99,2,5,0,1,0,1,3,NA
"0",11,13,22.99,2,10,0,1,0,1,2,NA
"1",0,60,21.99,4,8,0,1,1,0,2,"0"
"1",3,-1,18.49,3,4,2,1,0,1,2,NA
"0",4,13,12.49,2,4,0,1,1,0,2,NA
"1",25,13,26.49,3,8,2,1,0,1,1,NA
"0",5,13,10.99,3,4,1,1,0,1,2,NA
"1",0,-1,22.99,1,10,1,1,1,0,2,"0"
"1",7,13,26.49,4,9,0,0,0,1,2,NA
"1",17,60,21.49,3,9,2,1,0,1,1,NA
"1",1,60,12.99,2,4,1,1,1,0,2,"0"
"0",2,13,14.99,1,4,1,1,1,0,1,NA
"1",3,13,18.99,3,8,0,1,0,1,1,NA
"0",2,-1,16.99,2,7,0,0,0,1,1,NA
"0",20,13,15.99,3,5,0,1,0,1,1,NA
"0",18,-1,22.99,4,8,1,1,0,1,1,NA
"0",12,-1,8.49,2,4,0,1,0,1,1,NA
"1",1,-1,26.49,4,9,1,1,1,0,2,"0"
"0",1,-1,4.99,1,3,1,1,0,1,1,NA
"0",1,13,9.49,4,1,0,1,1,0,2,"0"
"0",1,13,17.99,3,7,1,1,0,1,1,NA
"0",8,13,14.49,4,7,1,1,1,0,2,NA
"1",0,13,10.49,4,5,0,1,1,0,2,"0"
