"charged_off","num_seq","maxDue","times_pastdue","annual_income","num_of_accounts","debt_to_income","risk_group","co_app","own_home","ach_billing_type_desc","ContactsMade_Inbound","ContactsMade_Outbound","Made_Promise","Trust","ach_billing","ach_onetime","ach_recurring","ach_none"
"0",5,12,0,53000,8,0.130516570044129,5,0,1,"Recurring",2,8,0,NA,0,0,1,0
"0",6,0,0,59800,5,0.130516570044129,11,0,0,"Recurring",3,0,0,NA,0,0,1,0
"0",7,0,0,57240,8,0.130516570044129,17,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",10,0,0,62400,6,0.130516570044129,11,0,0,"Recurring",1,0,0,NA,0,0,1,0
"0",4,44,2,30744,6,0.330678694763549,6,0,1,"Recurring",1,8,0,NA,0,0,1,0
"0",21,0,0,38400,3,0.209561894156058,7,0,0,"Recurring",1,1,0,NA,0,0,1,0
"1",4,0,0,20800,15,0.130516570044129,1,1,1,"Recurring",0,0,0,NA,0,0,1,0
"1",6,0,0,60000,5,0.189861212563915,11,0,1,"Recurring",2,0,0,NA,0,0,1,0
"1",5,0,0,97988,7,0.130516570044129,11,0,1,"Billing",1,1,0,NA,1,0,0,0
"0",14,13,2,62404,4,0.0305672019618701,14,0,0,"One-Time",9,0,0,NA,0,1,0,0
"0",7,13,0,94000,9,0.130516570044129,2,0,1,"Recurring",0,1,0,NA,0,0,1,0
"1",15,80,6,129200,7,0.125015479876161,4,0,1,"Recurring",0,10,0,NA,0,0,1,0
"0",4,0,0,41600,5,0.0837050688069444,6,0,1,"Billing",3,0,0,NA,1,0,0,0
"0",6,0,0,0,3,0.2202,9,0,0,"Recurring",2,7,0,NA,0,0,1,0
"0",3,1,0,80868,12,0.130516570044129,3,1,1,"No ACH",1,1,0,NA,0,0,0,1
"1",14,0,0,88400,11,0.161830335392591,7,0,1,"Recurring",1,10,0,NA,0,0,1,0
"0",13,0,0,46080,5,0.0435499835037941,6,0,0,"Recurring",1,5,0,NA,0,0,1,0
"0",5,12,0,35484,5,0.130516570044129,5,0,1,"Recurring",1,0,0,NA,0,0,1,0
"1",9,74,3,30472,6,0.0564114355790603,5,1,1,"Recurring",1,3,0,NA,0,0,1,0
"0",13,0,0,45600,7,0.0731714036457138,7,1,0,"Recurring",1,6,0,NA,0,0,1,0
"0",2,12,0,58000,13,0.130516570044129,6,0,1,"No ACH",1,0,0,NA,0,0,0,1
"0",11,10,0,59800,7,0.130516570044129,11,0,1,"Recurring",1,3,0,NA,0,0,1,0
"1",2,13,0,91000,22,0.130516570044129,4,1,1,"No ACH",3,0,0,NA,0,0,0,1
"0",24,0,0,62436,8,0.0237136920416733,11,0,0,"One-Time",2,0,0,NA,0,1,0,0
"0",2,13,0,104000,6,0.130516570044129,2,0,1,"No ACH",2,0,0,NA,0,0,0,1
"0",23,0,0,79920,5,0.202500211643198,5,0,0,"Recurring",1,7,0,NA,0,0,1,0
"1",14,10,2,62400,7,0.0742724284454422,13,0,0,"Recurring",2,3,0,NA,0,0,1,0
"0",6,0,0,46800,10,0.130516570044129,15,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",3,13,0,32184,13,0.130516570044129,10,0,1,"Recurring",0,0,0,NA,0,0,1,0
"0",16,0,0,49400,3,0.130516570044129,11,0,0,"Recurring",1,3,0,NA,0,0,1,0
"0",5,3,0,48000,19,0.130516570044129,1,1,1,"Recurring",2,0,0,NA,0,0,1,0
"1",14,0,0,65130,6,0.10557346844772,8,0,1,"Recurring",1,1,0,NA,0,0,1,0
"0",8,0,0,31200,6,0.130516570044129,11,0,1,"Recurring",0,5,0,NA,0,0,1,0
"1",6,0,0,59800,4,0.130516570044129,15,0,0,"Recurring",1,4,0,NA,0,0,1,0
"0",6,12,0,91200,8,0.130516570044129,13,0,0,"Recurring",2,8,0,NA,0,0,1,0
"0",4,13,1,120000,5,0.130516570044129,14,0,0,"Recurring",7,0,0,NA,0,0,1,0
"1",10,0,0,0,8,0.117005859744188,2,0,0,"Recurring",1,2,0,NA,0,0,1,0
"1",29,0,0,74796,6,0.314134445692283,6,0,1,"Recurring",2,4,0,NA,0,0,1,0
"0",10,13,2,81120,8,0.111570444286054,5,1,1,"One-Time",1,1,1,0.5,0,1,0,0
"0",11,0,0,59800,3,0.0685763661595664,1,0,1,"Recurring",2,4,0,NA,0,0,1,0
"0",4,4,0,22152,7,0.130516570044129,11,0,1,"Recurring",3,0,0,NA,0,0,1,0
"0",4,13,0,76000,9,0.130516570044129,6,0,1,"Recurring",1,3,0,NA,0,0,1,0
"0",9,28,2,81984,14,0.16780565437184,3,1,1,"Recurring",1,5,0,NA,0,0,1,0
"0",8,13,1,59800,14,0.230478453396695,15,0,1,"Recurring",1,7,0,NA,0,0,1,0
"0",7,0,0,54464,7,0.137363858635252,15,0,1,"Recurring",7,10,0,NA,0,0,1,0
"0",15,0,0,87000,15,0.0203843014405789,16,0,1,"Recurring",0,0,0,NA,0,0,1,0
"0",9,13,3,101000,4,0.12187191758302,9,0,1,"One-Time",1,7,0,NA,0,1,0,0
"0",7,0,0,80600,8,0.130516570044129,11,0,0,"Recurring",2,0,0,NA,0,0,1,0
"0",6,0,0,59800,8,0.130516570044129,11,0,0,"Recurring",2,1,0,NA,0,0,1,0
"0",9,0,0,48200,6,0.124378109452736,14,0,0,"Recurring",1,3,0,NA,0,0,1,0
"1",7,0,0,55900,27,0.130516570044129,11,0,0,"Billing",1,5,0,NA,1,0,0,0
"1",8,0,0,0,11,0.039724405210464,15,0,0,"Recurring",1,1,0,NA,0,0,1,0
"0",8,0,0,21606,13,0.130516570044129,11,0,1,"Recurring",7,0,0,NA,0,0,1,0
"0",13,0,0,59800,9,0.130516570044129,3,0,1,"One-Time",10,7,0,NA,0,1,0,0
"0",10,0,0,59800,12,0.193154034229829,13,0,0,"Recurring",3,2,0,NA,0,0,1,0
"1",11,0,0,60052,7,0.00416110140758245,16,0,1,"One-Time",4,6,0,NA,0,1,0,0
"0",14,0,0,44435,5,0.195419315509884,4,0,1,"Recurring",1,5,0,NA,0,0,1,0
"0",3,10,0,59800,4,0.130516570044129,1,0,1,"No ACH",0,1,0,NA,0,0,0,1
"0",14,0,0,44200,4,0.232566834922415,13,0,1,"One-Time",3,6,0,NA,0,1,0,0
"0",6,0,0,41600,6,0.130516570044129,11,0,1,"One-Time",7,2,0,NA,0,1,0,0
"0",20,13,2,47000,4,0,12,0,1,"Recurring",3,1,0,NA,0,0,1,0
"0",15,0,0,57200,4,0.130516570044129,11,0,0,"Recurring",1,0,0,NA,0,0,1,0
"0",16,0,0,115960,11,0.17219730941704,7,0,1,"One-Time",0,1,0,NA,0,1,0,0
"0",4,12,0,32208,3,0.130516570044129,5,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",6,44,2,67600,8,0.00933206601572626,11,0,1,"One-Time",8,9,0,NA,0,1,0,0
"1",20,0,0,67600,7,0.0814792899408284,8,0,0,"One-Time",4,0,0,NA,0,1,0,0
"1",15,0,0,70200,14,0.125294117647059,7,0,1,"Recurring",0,3,0,NA,0,0,1,0
"1",3,13,0,28400,12,0.130516570044129,6,0,1,"Recurring",0,1,0,NA,0,0,1,0
"0",3,10,0,108999.96,7,0.130516570044129,1,0,1,"No ACH",3,0,0,NA,0,0,0,1
"1",26,0,0,144624,7,0.176331631486703,11,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",13,0,0,59800,7,0.130516570044129,11,1,0,"One-Time",1,1,0,NA,0,1,0,0
"1",10,0,0,40300,5,0.338578136584562,11,0,0,"One-Time",0,2,0,NA,0,1,0,0
"0",15,0,0,74100,2,0.130516570044129,11,0,1,"One-Time",4,0,0,NA,0,1,0,0
"1",10,0,0,70000,11,0.019660010642171,11,0,0,"Recurring",0,1,0,NA,0,0,1,0
"1",6,44,2,23400,9,0.61701703298895,10,0,1,"One-Time",0,0,0,NA,0,1,0,0
"0",18,0,0,48620,5,0.10193336075689,8,0,0,"Recurring",3,1,0,NA,0,0,1,0
"0",11,0,0,79992,6,0.0657065706570657,13,0,0,"Recurring",1,3,0,NA,0,0,1,0
"1",4,13,1,59800,10,0.307692307692308,13,0,0,"Recurring",8,6,0,NA,0,0,1,0
"0",12,0,0,52560,9,0.0400538951494366,11,0,1,"Recurring",1,0,0,NA,0,0,1,0
"0",3,12,0,101112,13,0.130516570044129,5,0,1,"Recurring",1,0,0,NA,0,0,1,0
"0",9,0,0,19500,7,0.130516570044129,11,0,0,"Recurring",1,2,0,NA,0,0,1,0
"0",9,0,0,38896,13,0.115208014470572,15,1,1,"Recurring",2,1,0,NA,0,0,1,0
"0",5,13,3,60000,3,0.102992597974661,8,0,0,"Recurring",3,10,0,NA,0,0,1,0
"0",6,0,0,53820,5,0.130516570044129,14,0,1,"One-Time",2,5,0,NA,0,1,0,0
"1",2,12,0,33540,13,0.130516570044129,13,0,1,"No ACH",2,7,0,NA,0,0,0,1
"0",8,0,0,59800,5,0.130516570044129,11,0,1,"Recurring",1,1,0,NA,0,0,1,0
"0",7,44,2,59800,8,0.255295278657871,9,1,1,"Recurring",2,6,0,NA,0,0,1,0
"0",24,0,0,59800,11,0.144428571428571,7,0,1,"Recurring",1,4,0,NA,0,0,1,0
"0",15,10,0,59800,8,0.130516570044129,2,0,1,"Recurring",10,0,0,NA,0,0,1,0
"1",5,44,3,78000,11,0.100461538461538,10,0,0,"One-Time",2,0,0,NA,0,1,0,0
"1",8,43,3,0,11,0.130516570044129,11,0,1,"Recurring",0,2,0,NA,0,0,1,0
"0",9,0,0,115000,9,0.110191304347826,7,0,0,"Billing",0,0,0,NA,1,0,0,0
"0",6,0,0,46800,6,0.130516570044129,11,0,0,"Billing",4,2,0,NA,1,0,0,0
"0",18,0,0,91000,12,0.0590299964112843,9,0,1,"Billing",1,1,0,NA,1,0,0,0
"1",9,0,0,33800,7,0.130186128730373,4,1,1,"Recurring",0,1,0,NA,0,0,1,0
"0",11,0,0,72156,10,0.0464910790144435,9,0,1,"Recurring",1,3,0,NA,0,0,1,0
"1",26,10,2,36608,5,0.292395104895105,9,0,1,"Recurring",6,4,0,NA,0,0,1,0
"0",6,13,0,42520,4,0.130516570044129,9,0,0,"Recurring",1,4,0,NA,0,0,1,0
"1",5,0,0,49680,6,0.130516570044129,11,0,1,"One-Time",2,1,0,NA,0,1,0,0
"1",31,0,0,59800,5,0.00925714285714286,12,0,1,"Recurring",0,4,0,NA,0,0,1,0
"0",14,0,0,59800,10,0.130516570044129,11,0,0,"One-Time",5,2,0,NA,0,1,0,0
"1",17,0,0,103992,12,0.0760555011498553,10,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",15,0,0,0,15,0.30486724707814,16,1,0,"Recurring",1,6,0,NA,0,0,1,0
"0",3,13,0,83627.76,11,0.130516570044129,3,0,1,"No ACH",2,0,0,NA,0,0,0,1
"0",21,10,2,104000,11,0.118495955258164,15,0,1,"Recurring",0,3,0,NA,0,0,1,0
"1",13,0,0,109200,19,0.130516570044129,16,0,1,"Recurring",2,1,0,NA,0,0,1,0
"1",5,10,0,45500,15,0.130516570044129,11,1,1,"Recurring",5,10,0,NA,0,0,1,0
"0",11,10,0,66300,21,0.0660941481284478,8,1,1,"Recurring",8,1,0,NA,0,0,1,0
"0",13,0,0,25480,8,0.0171395483497394,13,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",3,13,0,42048,10,0.130516570044129,13,0,1,"No ACH",0,8,0,NA,0,0,0,1
"0",14,0,0,27612,6,0,13,0,0,"One-Time",0,4,0,NA,0,1,0,0
"1",11,0,0,50000,7,0.121540348882439,4,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",8,0,0,44200,8,0.119004615693357,5,0,1,"Billing",2,0,0,NA,1,0,0,0
"0",3,13,0,109746,9,0.130516570044129,5,0,0,"No ACH",3,5,0,NA,0,0,0,1
"0",8,12,1,74400,9,0.62688178492173,16,0,1,"One-Time",1,0,0,NA,0,1,0,0
"0",13,0,0,59800,7,0.445027963442914,8,0,1,"Recurring",1,3,0,NA,0,0,1,0
"0",22,0,0,84994,13,0.13506916192026,9,1,1,"One-Time",2,0,0,NA,0,1,0,0
"1",19,38,8,59800,14,0.130516570044129,11,1,0,"One-Time",9,10,0,NA,0,1,0,0
"0",3,10,0,55120,7,0.130516570044129,1,0,1,"No ACH",1,0,0,NA,0,0,0,1
"0",3,12,0,59800,13,0.130516570044129,9,1,1,"Recurring",1,0,0,NA,0,0,1,0
"0",8,0,0,40320,9,0.130516570044129,11,1,1,"Billing",2,0,0,NA,1,0,0,0
"1",12,0,0,119200,7,0.0561860319203168,12,0,0,"One-Time",6,0,0,NA,0,1,0,0
"0",4,3,0,106600,5,0.130516570044129,16,0,0,"One-Time",4,0,0,NA,0,1,0,0
"0",6,0,0,25788,7,0.24559835552775,12,0,0,"Recurring",6,4,0,NA,0,0,1,0
"0",7,0,0,111600,7,0.124754198768576,10,0,1,"Recurring",1,0,0,NA,0,0,1,0
"0",8,0,0,19800,9,0.13795492842407,5,1,1,"One-Time",5,0,0,NA,0,1,0,0
"0",24,10,3,48000,7,0.0331959210240833,10,0,0,"One-Time",4,3,0,NA,0,1,0,0
"1",12,0,0,40908,11,0.214725726019361,5,0,1,"Recurring",1,1,0,NA,0,0,1,0
"1",6,74,4,55200,11,0.0871526611316408,8,0,1,"Recurring",2,0,0,NA,0,0,1,0
"0",6,13,1,59800,5,0.130516570044129,11,1,1,"Recurring",1,9,0,NA,0,0,1,0
"0",12,13,3,84400,6,0.309967297028295,5,0,1,"One-Time",1,4,0,NA,0,1,0,0
"0",5,0,0,30992,9,0.0950893631788999,9,0,0,"Recurring",7,5,0,NA,0,0,1,0
"1",3,0,0,59800,9,0.0231040432075613,16,1,1,"Recurring",7,7,0,NA,0,0,1,0
"1",11,13,1,79550,8,0.128813866135675,14,1,1,"Recurring",4,4,0,NA,0,0,1,0
"0",18,24,6,59800,8,0.114214285714286,10,0,0,"One-Time",4,10,0,NA,0,1,0,0
"0",29,0,0,59800,6,0.0568075117370892,11,0,0,"One-Time",3,0,1,1,0,1,0,0
"1",15,0,0,54000,3,0.121166666666667,4,0,1,"Recurring",0,1,0,NA,0,0,1,0
"0",30,0,0,36000,14,0.03578789127852,16,0,1,"Recurring",1,0,0,NA,0,0,1,0
"1",6,38,3,100800,10,0.133713397253174,11,0,0,"Recurring",1,3,0,NA,0,0,1,0
"0",9,0,0,41280,9,0.094964548978649,7,0,0,"Recurring",3,0,0,NA,0,0,1,0
"1",11,0,0,65000,7,0,15,0,0,"One-Time",3,3,0,NA,0,1,0,0
"1",6,44,2,80964,14,0.0214910330517267,13,0,1,"Recurring",0,0,0,NA,0,0,1,0
"1",7,0,0,59800,8,0.130516570044129,1,0,1,"Recurring",0,2,0,NA,0,0,1,0
"0",27,24,7,122759,19,0.072080266037575,2,1,0,"One-Time",2,2,0,NA,0,1,0,0
"1",16,52,8,44980,20,0.138643192686952,16,0,1,"Billing",4,10,0,NA,1,0,0,0
"1",25,12,1,26000,7,0.249267107797973,15,1,1,"One-Time",2,2,0,NA,0,1,0,0
"1",17,10,1,59800,3,0.134371957156767,1,0,1,"Recurring",1,5,0,NA,0,0,1,0
"0",6,10,2,57200,5,0.130516570044129,11,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",8,0,0,59800,4,0.130516570044129,11,0,1,"Recurring",1,4,0,NA,0,0,1,0
"0",12,0,0,70200,10,0.130516570044129,2,0,1,"One-Time",2,0,0,NA,0,1,0,0
"0",11,10,0,59800,4,0.130516570044129,16,0,0,"Recurring",10,5,0,NA,0,0,1,0
"1",13,0,0,102000,7,0.0599431123380561,7,0,1,"Recurring",1,2,0,NA,0,0,1,0
"1",15,38,3,56160,11,0.302564102564103,14,0,1,"Recurring",2,10,0,NA,0,0,1,0
"0",9,13,2,89032,11,0.223826521027348,13,1,0,"One-Time",4,5,0,NA,0,1,0,0
"0",12,0,0,60400,5,0.12318696602424,6,0,1,"Recurring",3,1,0,NA,0,0,1,0
"0",17,0,0,82000,18,0.302187444424684,8,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",19,10,6,21476,11,0.142458100558659,12,0,0,"One-Time",10,10,0,NA,0,1,0,0
"0",5,0,0,140400,6,0.260827390468663,8,1,0,"Recurring",3,2,0,NA,0,0,1,0
"1",8,0,0,51000,8,0.149647058823529,12,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",4,12,0,59800,9,0.130516570044129,6,0,0,"Recurring",1,5,0,NA,0,0,1,0
"0",15,0,0,63750,16,0.0768175582990398,6,1,1,"Recurring",1,0,0,NA,0,0,1,0
"1",12,0,0,59800,5,0.132035135009527,10,0,1,"Recurring",1,7,0,NA,0,0,1,0
"0",9,0,0,45600,8,0.215263157894737,15,0,0,"Recurring",2,0,0,NA,0,0,1,0
"0",24,0,0,59800,10,0.206875,13,1,0,"Recurring",1,5,0,NA,0,0,1,0
"0",2,13,0,58000,4,0.130516570044129,12,0,0,"No ACH",0,0,0,NA,0,0,0,1
"1",12,0,0,59800,12,0.130516570044129,14,0,1,"Recurring",0,1,0,NA,0,0,1,0
"1",23,0,0,91000,5,0.15032967032967,6,0,1,"One-Time",1,0,0,NA,0,1,0,0
"1",15,0,0,40332,8,0.00586900383441584,11,0,1,"Recurring",0,8,0,NA,0,0,1,0
"0",6,10,3,54000,7,0.106222222222222,12,0,1,"One-Time",2,1,1,1,0,1,0,0
"1",11,24,3,32500,14,0.062756183745583,16,0,0,"Recurring",2,0,0,NA,0,0,1,0
"0",4,12,0,57200,15,0.130516570044129,15,1,1,"Recurring",10,3,0,NA,0,0,1,0
"1",10,24,0,74736,7,0.130516570044129,11,0,1,"Recurring",0,1,0,NA,0,0,1,0
"1",4,0,0,57500,10,0.130516570044129,17,0,1,"Recurring",0,0,0,NA,0,0,1,0
"0",14,0,0,59800,2,0.130516570044129,11,0,1,"Recurring",4,1,0,NA,0,0,1,0
"0",10,0,0,59800,8,0.130516570044129,11,0,0,"Recurring",1,2,0,NA,0,0,1,0
"0",4,13,1,101218,4,0.130516570044129,4,0,1,"Billing",6,1,0,NA,1,0,0,0
"1",25,0,0,59800,9,0.06915,14,0,1,"Recurring",5,4,0,NA,0,0,1,0
"1",16,10,2,59800,13,0.230462100343558,15,0,1,"One-Time",10,1,0,NA,0,1,0,0
"0",5,13,0,68280,6,0.00966608084358524,7,0,1,"One-Time",4,0,1,0.75,0,1,0,0
"1",10,0,0,39576,8,0.14454126089185,10,0,1,"Recurring",0,0,0,NA,0,0,1,0
"0",7,13,0,60000,5,0.130516570044129,14,0,0,"Recurring",1,0,0,NA,0,0,1,0
"0",9,0,0,83200,9,0.130516570044129,11,0,1,"One-Time",0,0,0,NA,0,1,0,0
"1",6,0,0,40284,18,0.212120047650156,16,1,1,"Billing",0,1,0,NA,1,0,0,0
"0",9,0,0,15036,7,0,12,1,1,"Recurring",1,9,0,NA,0,0,1,0
"1",13,0,0,41148,8,0.305628463108778,16,0,0,"Recurring",2,3,0,NA,0,0,1,0
"0",9,0,0,76800,11,0.0609166505511506,15,0,0,"Recurring",1,5,0,NA,0,0,1,0
"0",18,0,0,59800,8,0.00321405613884723,8,0,0,"One-Time",7,0,0,NA,0,1,0,0
"0",11,13,2,59800,4,0.159603626396795,14,0,1,"Recurring",1,0,0,NA,0,0,1,0
"0",17,0,0,59800,11,0.0987799343246923,11,0,1,"Recurring",1,0,0,NA,0,0,1,0
"1",20,24,2,59800,6,0.128461538461538,8,0,0,"One-Time",0,5,0,NA,0,1,0,0
"0",15,0,0,50492,6,0.130516570044129,15,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",4,12,0,39000,5,0.130516570044129,4,0,1,"Recurring",1,1,0,NA,0,0,1,0
"1",7,0,0,41990,6,0.0185865871419655,6,0,1,"Recurring",1,3,0,NA,0,0,1,0
"0",8,0,0,65000,9,0.131933302773321,5,1,1,"Recurring",1,3,0,NA,0,0,1,0
"1",15,0,0,59800,19,0.0550989485283989,12,0,0,"One-Time",0,0,0,NA,0,1,0,0
"0",12,10,0,46800,13,0.130516570044129,11,0,1,"Recurring",4,4,0,NA,0,0,1,0
"1",6,0,0,59800,5,0.130516570044129,12,0,1,"Billing",0,2,0,NA,1,0,0,0
"0",16,0,0,51948,8,0.130516570044129,11,0,1,"Recurring",0,0,0,NA,0,0,1,0
"1",16,0,0,52000,5,0.11180981595092,14,0,0,"Recurring",0,0,0,NA,0,0,1,0
"1",19,0,0,69176,8,0.167042497831743,11,0,1,"Recurring",1,3,0,NA,0,0,1,0
"1",15,0,0,64662,16,0.106337570752529,15,0,0,"Recurring",5,8,0,NA,0,0,1,0
"0",6,12,0,130000,14,0.130516570044129,9,0,1,"Recurring",3,3,0,NA,0,0,1,0
"1",28,0,0,29120,5,0.0999086519639828,18,0,1,"Recurring",0,2,0,NA,0,0,1,0
"0",9,0,0,48000,7,0.271363636363636,14,0,1,"One-Time",10,1,1,0.666666666666667,0,1,0,0
"0",10,0,0,41002,11,0.405033655253146,14,0,1,"One-Time",5,3,0,NA,0,1,0,0
"0",16,0,0,146536,9,0.111998496664474,7,0,0,"Recurring",2,0,0,NA,0,0,1,0
"1",11,0,0,75168,10,0.0921136653895275,8,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",11,10,1,67990,12,0.127430504485954,15,0,1,"Recurring",9,1,0,NA,0,0,1,0
"1",8,0,0,59800,14,0.0814973262032086,10,0,1,"Recurring",0,0,0,NA,0,0,1,0
"0",3,10,0,54600,2,0.130516570044129,5,0,0,"No ACH",1,0,0,NA,0,0,0,1
"1",6,0,0,74800,6,0.130516570044129,6,0,1,"Recurring",0,7,0,NA,0,0,1,0
"0",8,0,0,38480,4,0.0533208606173994,9,0,1,"One-Time",4,7,0,NA,0,1,0,0
"0",14,43,5,50400,12,0.175016232955397,16,0,0,"One-Time",8,5,0,NA,0,1,0,0
"0",9,10,0,80012.16,4,0.130516570044129,15,0,0,"Recurring",1,0,0,NA,0,0,1,0
"0",8,0,0,59800,10,0.0590332061784754,14,0,0,"One-Time",2,0,0,NA,0,1,0,0
"0",9,44,2,59800,5,0.093666659439301,7,0,1,"Recurring",7,3,0,NA,0,0,1,0
"1",20,0,0,62400,11,0.00704353634100431,14,0,1,"Billing",0,1,0,NA,1,0,0,0
"1",5,13,1,50440,10,0.28609776338842,8,1,1,"Recurring",0,0,0,NA,0,0,1,0
"1",12,0,0,46000,5,0,11,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",20,0,0,24960,5,0.356730769230769,15,0,1,"One-Time",1,2,0,NA,0,1,0,0
"0",16,0,0,42000,6,0.198289269051322,7,0,1,"Recurring",4,10,0,NA,0,0,1,0
"0",9,74,3,59800,6,0.114813685716296,10,0,0,"Recurring",2,9,0,NA,0,0,1,0
"0",15,0,0,59800,15,0.132516746411483,4,1,1,"One-Time",1,0,0,NA,0,1,0,0
"1",9,24,5,78000,6,0.053412010071979,16,0,0,"Recurring",5,1,0,NA,0,0,1,0
"1",12,0,0,59800,18,0.224354418384269,9,0,1,"Billing",1,0,0,NA,1,0,0,0
"1",12,0,0,48152,4,0.441853614672641,16,1,1,"One-Time",2,1,0,NA,0,1,0,0
"1",7,0,0,36500,5,0.202520547945205,5,0,1,"Billing",0,0,0,NA,1,0,0,0
"0",9,0,0,94620,6,0.0717818642993025,16,0,1,"Recurring",10,10,1,0.5625,0,0,1,0
"0",16,0,0,72000,7,0.0708333333333333,9,0,0,"One-Time",7,0,0,NA,0,1,0,0
"0",10,0,0,54600,3,0.229672447013487,7,0,1,"Recurring",0,0,0,NA,0,0,1,0
"1",12,52,3,52000,11,0.204,10,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",13,0,0,76204,2,0.304308870245174,5,0,1,"One-Time",5,3,1,0.75,0,1,0,0
"0",10,13,1,42156,5,0.0980464044414183,16,0,0,"One-Time",0,0,0,NA,0,1,0,0
"1",7,12,0,26990,3,0.130516570044129,10,0,1,"Recurring",0,2,0,NA,0,0,1,0
"0",9,10,0,41600,6,0.130516570044129,17,0,0,"Recurring",5,2,0,NA,0,0,1,0
"1",9,0,0,69684,13,0.279671866850017,16,0,1,"Recurring",1,6,0,NA,0,0,1,0
"1",3,13,1,67200,11,0.130516570044129,11,1,0,"Recurring",2,0,0,NA,0,0,1,0
"1",12,0,0,55740,6,0.171840989804101,12,0,1,"Recurring",0,1,0,NA,0,0,1,0
"1",10,0,0,59800,4,0.149431809468309,9,0,0,"Recurring",0,0,0,NA,0,0,1,0
"0",6,13,3,59800,15,0.0339,13,0,0,"One-Time",10,0,0,NA,0,1,0,0
"0",9,44,6,55476,10,0.183462020721969,8,0,1,"Recurring",7,1,0,NA,0,0,1,0
"1",26,0,0,44200,8,0.157914748003887,13,0,0,"Recurring",0,1,0,NA,0,0,1,0
